BEYOND$$$http://cwc.serv00.net/wallpaper/poster/beyond.jpg,#genre#
amani(演唱会),http://em.21dtv.com/songs/60000215.mkv
报答一生,http://em.21dtv.com/songs/60010041.mkv
半斤八两,http://em.21dtv.com/songs/60009876.mkv
不可一世(演唱会),http://em.21dtv.com/songs/60011198.mkv
俾面派对(演唱会),http://em.21dtv.com/songs/60010410.mkv
不再犹豫(演唱会),http://em.21dtv.com/songs/60011764.mkv
赤红热血,http://em.21dtv.com/songs/60092147.mkv
冲开一切,http://em.21dtv.com/songs/60012859.mkv
打不死,http://em.21dtv.com/songs/60013752.mkv
大地,http://em.21dtv.com/songs/60013887.mkv
点解点解,http://em.21dtv.com/songs/60015306.mkv
孤单一吻,http://em.21dtv.com/songs/60018872.mkv
光辉岁月(演唱会),http://em.21dtv.com/songs/60019283.mkv
鼓舞,http://em.21dtv.com/songs/60019017.mkv
高温派对(演唱会),http://em.21dtv.com/songs/60018234.mkv
海阔天空,http://em.21dtv.com/songs/60019755.mkv
缓慢,http://em.21dtv.com/songs/60021808.mkv
和平与爱,http://em.21dtv.com/songs/60020429.mkv
灰色轨迹(演唱会),http://em.21dtv.com/songs/60022041.mkv
活着便精彩,http://em.21dtv.com/songs/60022393.mkv
教坏细路,http://em.21dtv.com/songs/60023534.mkv
旧日的足迹(演唱会),http://em.21dtv.com/songs/60024556.mkv
惊喜,http://em.21dtv.com/songs/60024208.mkv
交织千个心,http://em.21dtv.com/songs/60023461.mkv
可否冲破,http://em.21dtv.com/songs/60025288.mkv
看星,http://em.21dtv.com/songs/60095243.mkv
抗战二十年,http://em.21dtv.com/songs/60092142.mkv
love,http://em.21dtv.com/songs/60003625.mkv
冷雨夜(演唱会),http://em.21dtv.com/songs/60026625.mkv
门外看,http://em.21dtv.com/songs/60029414.mkv
命运是你家(演唱会),http://em.21dtv.com/songs/60030305.mkv
农民(演唱会),http://em.21dtv.com/songs/60032752.mkv
真的爱你,http://em.21dtv.com/songs/60089563.mkv
漆黑的空间,http://em.21dtv.com/songs/60077112.mkv
请将手放开,http://em.21dtv.com/songs/60035529.mkv
情人,http://em.21dtv.com/songs/60035167.mkv
情人(国)(演唱会),http://em.21dtv.com/songs/60035161.mkv
谁伴我闯荡,http://em.21dtv.com/songs/60039940.mkv
是错也再不分(演唱会),http://em.21dtv.com/songs/60092144.mkv
逝去日子(演唱会),http://em.21dtv.com/songs/60039555.mkv
时日无多,http://em.21dtv.com/songs/60039155.mkv
岁月无声(演唱会),http://em.21dtv.com/songs/60040986.mkv
失踪,http://em.21dtv.com/songs/60095242.mkv
太空(演唱会),http://em.21dtv.com/songs/60041330.mkv
褪色,http://em.21dtv.com/songs/60095244.mkv
叹息(演唱会),http://em.21dtv.com/songs/60041472.mkv
无悔这一生,http://em.21dtv.com/songs/60047143.mkv
无尽空虚,http://em.21dtv.com/songs/60047169.mkv
无泪的遗憾,http://em.21dtv.com/songs/60047197.mkv
为了您为了我,http://em.21dtv.com/songs/60043918.mkv
温暖的家乡,http://em.21dtv.com/songs/60044334.mkv
完全地爱吧,http://em.21dtv.com/songs/60043145.mkv
完全的拥有(演唱会),http://em.21dtv.com/songs/60043144.mkv
无声的告别(演唱会),http://em.21dtv.com/songs/60047411.mkv
我是愤怒(演唱会),http://em.21dtv.com/songs/60046102.mkv
文武英杰宣言,http://em.21dtv.com/songs/60072508.mkv
午夜迷墙,http://em.21dtv.com/songs/60047729.mkv
无语问苍天,http://em.21dtv.com/songs/60047552.mkv
午夜怨曲(演唱会),http://em.21dtv.com/songs/60047744.mkv
喜欢你(演唱会),http://em.21dtv.com/songs/60048124.mkv
醒你,http://em.21dtv.com/songs/60049082.mkv
心内心外,http://em.21dtv.com/songs/60152199.mkv
血染的风采,https://rescdn.yishihui.com/longvideo/transcode/video/vpc/20201217/5623330UVqF1sc8YPbod665sH.mp4
昔日舞曲,http://em.21dtv.com/songs/60048007.mkv
牺牲,http://em.21dtv.com/songs/60048010.mkv
预备,http://em.21dtv.com/songs/60055803.mkv
总有爱,http://em.21dtv.com/songs/60052767.mkv
亚拉伯跳舞女郎(演唱会),http://em.21dtv.com/songs/60051893.mkv
原谅我今天,http://em.21dtv.com/songs/60092140.mkv
遥望,http://em.21dtv.com/songs/60052308.mkv
愿我能(演唱会),http://em.21dtv.com/songs/60056228.mkv
一厢情愿,http://em.21dtv.com/songs/60053778.mkv
遥远的paradise,http://em.21dtv.com/songs/60052320.mkv
paradise,http://em.21dtv.com/songs/60004411.mkv
夜长梦多(演唱会),http://em.21dtv.com/songs/60052701.mkv
早班火车,http://em.21dtv.com/songs/60057292.mkv
长城,http://em.21dtv.com/songs/60057559.mkv
再见理想(演唱会),http://em.21dtv.com/songs/60056875.mkv
祝您愉快(双语种)(演唱会),http://em.21dtv.com/songs/60059394.mkv
战胜心魔,http://em.21dtv.com/songs/60057473.mkv

陈百强$$$http://cwc.serv00.net/wallpaper/poster/陈百强.jpg,#genre#
不,http://em.21dtv.com/songs/60010954.mkv
半分缘,http://em.21dtv.com/songs/60009859.mkv
背着良心的说话,http://em.21dtv.com/songs/60010271.mkv
不再问究竟,http://em.21dtv.com/songs/60011756.mkv
宠爱,http://em.21dtv.com/songs/60012875.mkv
从今以后,http://em.21dtv.com/songs/60013520.mkv
等,http://em.21dtv.com/songs/60014842.mkv
对不对,http://em.21dtv.com/songs/60015969.mkv
对酒当歌(演唱会),http://em.21dtv.com/songs/60016016.mkv
当我想起你,http://em.21dtv.com/songs/60014626.mkv
粉红色的一生,http://em.21dtv.com/songs/60017171.mkv
感情到老,http://em.21dtv.com/songs/60017998.mkv
孤雁,http://em.21dtv.com/songs/60018927.mkv
喝采,http://em.21dtv.com/songs/60020285.mkv
画出彩虹,http://em.21dtv.com/songs/60021605.mkv
疾风,http://em.21dtv.com/songs/60022621.mkv
几分钟的约会,http://em.21dtv.com/songs/60022655.mkv
寂寞的感觉(演唱会),http://em.21dtv.com/songs/60022841.mkv
今宵多珍重(演唱会),http://em.21dtv.com/songs/60023922.mkv
涟漪,http://em.21dtv.com/songs/60026959.mkv
浪子心声(演唱会),http://em.21dtv.com/songs/60026294.mkv
masquerade(演唱会),http://em.21dtv.com/songs/60003761.mkv
梦里人,http://em.21dtv.com/songs/60029601.mkv
念亲恩(演唱会),http://em.21dtv.com/songs/60032661.mkv
凝望,http://em.21dtv.com/songs/60032718.mkv
偶像,http://em.21dtv.com/songs/60033067.mkv
偏偏喜欢你,http://em.21dtv.com/songs/60033420.mkv
盼三年,http://em.21dtv.com/songs/60033162.mkv
盼望的缘份,http://em.21dtv.com/songs/60033167.mkv
凭着爱(演唱会),http://em.21dtv.com/songs/60033634.mkv
亲爱的您,http://em.21dtv.com/songs/60034513.mkv
深爱着你(演唱会),http://em.21dtv.com/songs/60038278.mkv
scarborough fair(演唱会),http://em.21dtv.com/songs/60004852.mkv
sealed with a kiss(演唱会),http://em.21dtv.com/songs/60004864.mkv
试问谁没错,http://em.21dtv.com/songs/60039371.mkv
双星情歌(演唱会),http://em.21dtv.com/songs/60039902.mkv
神仙也移民,http://em.21dtv.com/songs/60038507.mkv
天才白痴梦,http://em.21dtv.com/songs/60041756.mkv
突破(演唱会),http://em.21dtv.com/songs/60042922.mkv
天生不是情人,http://em.21dtv.com/songs/60041998.mkv
我爱白云(演唱会),http://em.21dtv.com/songs/60044537.mkv
我的故事,http://em.21dtv.com/songs/60045080.mkv
相思河畔,http://em.21dtv.com/songs/60048758.mkv
有了你,http://em.21dtv.com/songs/60055166.mkv
眼泪为你流,http://em.21dtv.com/songs/60052079.mkv
一生不可自决,http://em.21dtv.com/songs/60053517.mkv
一生何求,http://em.21dtv.com/songs/60053553.mkv
烟雨凄迷,http://em.21dtv.com/songs/60051999.mkv
至爱,http://em.21dtv.com/songs/60058792.mkv
摘星,http://em.21dtv.com/songs/60057433.mkv
只因爱你,http://em.21dtv.com/songs/60058555.mkv

陈慧娴$$$http://cwc.serv00.net/wallpaper/poster/陈慧娴.jpg,#genre#
爱亦要舍弃,http://em.21dtv.com/songs/60009086.mkv
爱在深秋,http://em.21dtv.com/songs/60009188.mkv
冰点(演唱会),http://em.21dtv.com/songs/60010811.mkv
不羁恋人(演唱会),http://em.21dtv.com/songs/60011170.mkv
玻璃窗的爱,http://em.21dtv.com/songs/60010903.mkv
变心,http://em.21dtv.com/songs/60010518.mkv
close to you(演唱会),http://em.21dtv.com/songs/60000951.mkv
从来是一对,http://em.21dtv.com/songs/60013541.mkv
痴情意外,http://em.21dtv.com/songs/60012741.mkv
dancing boy(演唱会),http://em.21dtv.com/songs/60001142.mkv
到处留情,http://em.21dtv.com/songs/60014726.mkv
等了又等(演唱会),http://em.21dtv.com/songs/60014948.mkv
dont cry for me argentina(演唱会),http://em.21dtv.com/songs/60001310.mkv
地球和月亮的故事,http://em.21dtv.com/songs/60015105.mkv
二人时间(演唱会),http://em.21dtv.com/songs/60016375.mkv
反叛(演唱会),http://em.21dtv.com/songs/60016496.mkv
孤单背影,http://em.21dtv.com/songs/60018831.mkv
归来吧,http://em.21dtv.com/songs/60019366.mkv
故梦,http://em.21dtv.com/songs/60093440.mkv
回报,http://em.21dtv.com/songs/60022073.mkv
喝采(演唱会),http://em.21dtv.com/songs/60020282.mkv
红茶馆(演唱会),http://em.21dtv.com/songs/60020753.mkv
花店(演唱会),http://em.21dtv.com/songs/60021325.mkv
花火(演唱会),http://em.21dtv.com/songs/60021396.mkv
还是告别吧,http://em.21dtv.com/songs/60019608.mkv
还是喜欢看你,http://em.21dtv.com/songs/60019630.mkv
jealousy,http://em.21dtv.com/songs/60003055.mkv
距离,http://em.21dtv.com/songs/60024742.mkv
joe le taxi(演唱会),http://em.21dtv.com/songs/60003077.mkv
几时再见(演唱会),http://em.21dtv.com/songs/60022664.mkv
今天的爱人是谁,http://em.21dtv.com/songs/60023835.mkv
今天夜里总下雨,http://em.21dtv.com/songs/60023885.mkv
可否,http://em.21dtv.com/songs/60025286.mkv
恋恋风尘,http://em.21dtv.com/songs/60027093.mkv
黎明不要来(演唱会),http://em.21dtv.com/songs/60026831.mkv
Lonely,http://em.21dtv.com/songs/60098877.mkv
love me once again,http://em.21dtv.com/songs/60003566.mkv
连锁反应,http://em.21dtv.com/songs/60076406.mkv
礼物,http://em.21dtv.com/songs/60026849.mkv
梁祝+碎花,http://em.21dtv.com/songs/60093444.mkv
默契(演唱会),http://em.21dtv.com/songs/60030481.mkv
明日有明天,http://em.21dtv.com/songs/60030152.mkv
my love will get you home(演唱会),http://em.21dtv.com/songs/60004006.mkv
你的梦我的梦,http://em.21dtv.com/songs/60031586.mkv
你身边永是我,http://em.21dtv.com/songs/60031983.mkv
你喜欢我什么,http://em.21dtv.com/songs/60032350.mkv
你怎么舍得我难过,http://em.21dtv.com/songs/60147872.mkv
飘(演唱会),http://em.21dtv.com/songs/60033503.mkv
抛抛(演唱会),http://em.21dtv.com/songs/60033192.mkv
偏偏喜欢你,http://em.21dtv.com/songs/60162885.mkv
飘雪,http://em.21dtv.com/songs/60033539.mkv
去吧(演唱会),http://em.21dtv.com/songs/60035835.mkv
七分爱情三分骗,http://em.21dtv.com/songs/60033740.mkv
奇妙旅程,http://em.21dtv.com/songs/60033956.mkv
千千阙歌,http://em.21dtv.com/songs/60034146.mkv
秋色(演唱会),http://em.21dtv.com/songs/60035696.mkv
情意结(演唱会),http://em.21dtv.com/songs/60035414.mkv
让爱绽放,http://em.21dtv.com/songs/60067361.mkv
如果你知我苦衷,http://em.21dtv.com/songs/60114211.mkv
人生何处不相逢(演唱会),http://em.21dtv.com/songs/60036412.mkv
让我抱着你哭,http://em.21dtv.com/songs/60036121.mkv
让一切随风,http://em.21dtv.com/songs/60100587.mkv
碎花(演唱会),http://em.21dtv.com/songs/60040994.mkv
谁可改变(演唱会),http://em.21dtv.com/songs/60040001.mkv
什么都想要,http://em.21dtv.com/songs/60038404.mkv
傻女(演唱会),http://em.21dtv.com/songs/60037531.mkv
傻女的新衣,http://em.21dtv.com/songs/60037536.mkv
逝去的诺言(演唱会),http://em.21dtv.com/songs/60039551.mkv
贪贪贪,http://em.21dtv.com/songs/60041422.mkv
跳舞街(演唱会),http://em.21dtv.com/songs/60042448.mkv
为何仍是你,http://em.21dtv.com/songs/60043883.mkv
忘记悲伤(演唱会),http://em.21dtv.com/songs/60043526.mkv
我寂寞,http://em.21dtv.com/songs/60045626.mkv
